Tipo de centro de salud;Provincia;Canton;Parroquia;Distrito;Circuito;Centro de salud;Numero de Centros de Salud;Numero de Tipos de Centros;Latitud;Longitud
CENTRO DE SALUD;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;BELLA RICA;1;1;-3.077668;-79.708076
CENTRO DE SALUD;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;PONCE ENRIQUEZ;1;1;-3.061323;-79.745147
CENTRO DE SALUD;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;ZHUMIRAL;1;1;-2.979059;-79.689741
CENTRO DE SALUD;AZUAY;CHORDELEG;CHORDELEG;GUALACEO-CHORDELEG;SAN MARTIN DE PUZHIO-LUIS GALARZA ORELLANA (CAB. EN DELEGSOL)-PRINCIPAL-CHORDELEG-LA UNION;CHORDELEG;1;1;-2.920512;-78.774448
CENTRO DE SALUD;AZUAY;CHORDELEG;PRINCIPAL;GUALACEO-CHORDELEG;SAN MARTIN DE PUZHIO-LUIS GALARZA ORELLANA (CAB. EN DELEGSOL)-PRINCIPAL-CHORDELEG-LA UNION;PRINCIPAL;1;1;-3.026686;-78.750846
CENTRO DE SALUD;AZUAY;CUENCA;CHAUCHA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CHAUCHA;SAN ANTONIO CHAUCHA;1;1;-2.910569;-79.413969
CENTRO DE SALUD;AZUAY;CUENCA;CHECA (JIDCAY);NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CHECA (JIDCAY)-CHIQUINTAD;CHECA;1;1;-2.807861;-78.992903
CENTRO DE SALUD;AZUAY;CUENCA;CHIQUINTAD;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CHECA (JIDCAY)-CHIQUINTAD;TIXAN;1;1;-2.833316;-78.994892
CENTRO DE SALUD;AZUAY;CUENCA;CHIQUINTAD;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CANIARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;CHECA (JIDCAY)-CHIQUINTAD;CHIQUINTAD;1;1;-2.814554;-78.999519
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUENCA_HUAYNA CAPAC;CENTRO N. 3 NICANOR MERCHAN;1;1;-2.902926;-79.004384
CENTRO DE SALUD;AZUAY;CUENCA;CUENCA;BANIOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY;CUENCA_MONAY;TOMEBAMBA (MONAY);1;1;-2.900369;-78.975027
